name,type,light,dark
color.palette.gray.dark,color,#2b303b,#cacfd8
color.palette.gray.base,color,#717784,#717784
color.palette.gray.light,color,#e1e4ea,rgb(153 160 174 / 0.24)
color.palette.gray.lighter,color,#f5f7fa,rgb(153 160 174 / 0.12)
color.palette.blue.dark,color,#2547d0,#6895ff
color.palette.blue.base,color,#335cff,#335cff
color.palette.blue.light,color,#c0d5ff,rgb(51 92 255 / 0.28)
color.palette.blue.lighter,color,#ebf1ff,rgb(51 92 255 / 0.16)
color.palette.orange.dark,color,#d05e25,#ffa878
color.palette.orange.base,color,#ff8447,#ff8447
color.palette.orange.light,color,#ffd5c0,rgb(255 132 71 / 0.28)
color.palette.orange.lighter,color,#fff3eb,rgb(255 132 71 / 0.16)
color.palette.red.dark,color,#d02533,#ff6875
color.palette.red.base,color,#fb3748,#fb3748
color.palette.red.light,color,#ffc0c5,rgb(251 55 72 / 0.28)
color.palette.red.lighter,color,#ffebec,rgb(251 55 72 / 0.16)
color.palette.green.dark,color,#178c4e,#3ee089
color.palette.green.base,color,#1fc16b,#1fc16b
color.palette.green.light,color,#c2f5da,rgb(31 193 107 / 0.28)
color.palette.green.lighter,color,#e0faec,rgb(31 193 107 / 0.16)
color.palette.yellow.dark,color,#c99a2c,#ffd268
color.palette.yellow.base,color,#f6b51e,#f6b51e
color.palette.yellow.light,color,#ffecc0,rgb(246 181 30 / 0.28)
color.palette.yellow.lighter,color,#fffaeb,rgb(246 181 30 / 0.16)
color.palette.purple.dark,color,#5b2cc9,#a897ff
color.palette.purple.base,color,#7d52f4,#7d52f4
color.palette.purple.light,color,#cac2ff,rgb(125 82 244 / 0.28)
color.palette.purple.lighter,color,#efebff,rgb(125 82 244 / 0.16)
color.palette.sky.dark,color,#269bd8,#68cdff
color.palette.sky.base,color,#47c2ff,#47c2ff
color.palette.sky.light,color,#c0eaff,rgb(71 194 255 / 0.28)
color.palette.sky.lighter,color,#ebf8ff,rgb(71 194 255 / 0.16)
color.palette.pink.dark,color,#d0217a,#ff8ac0
color.palette.pink.base,color,#fb4ba3,#fb4ba3
color.palette.pink.light,color,#ffc0df,rgb(251 75 163 / 0.28)
color.palette.pink.lighter,color,#ffebf4,rgb(251 75 163 / 0.16)
color.palette.teal.dark,color,#178c7d,#3fdec9
color.palette.teal.base,color,#22d3bb,#22d3bb
color.palette.teal.light,color,#c2f6ee,rgb(34 211 187 / 0.28)
color.palette.teal.lighter,color,#e4fbf8,rgb(34 211 187 / 0.16)
color.semantic.disabled-opacity,color,0.5,0.5
color.semantic.border-width,color,1px,1px
color.semantic.background,color,#ffffff,#0e121b
color.semantic.background-secondary,color,#f5f7fa,#181b25
color.semantic.background-tertiary,color,#f2f5f8,#222530
color.semantic.background-inverse,color,#0e121b,#ffffff
color.semantic.surface,color,#ffffff,#181b25
color.semantic.surface-secondary,color,#f5f7fa,#222530
color.semantic.surface-tertiary,color,#e1e4ea,#2b303b
color.semantic.surface-hover,color,#f5f7fa,#222530
color.semantic.foreground,color,#0e121b,#f5f7fa
color.semantic.muted,color,#525866,#99a0ae
color.semantic.subtle,color,#616874,#8f96a1
color.semantic.disabled,color,#cacfd8,#525866
color.semantic.link,color,oklch(0.55 0.2295 265),oklch(0.71 0.198 265)
color.semantic.overlay,color,#ffffff,#181b25
color.semantic.segment,color,#f2f5f8,#222530
color.semantic.backdrop,color,rgb(14 18 27 / 0.32),rgb(0 0 0 / 0.6)
color.semantic.border,color,#e1e4ea,#2b303b
color.semantic.border-strong,color,#cacfd8,#3a3f4d
color.semantic.separator,color,#e1e4ea,#2b303b
color.semantic.separator-secondary,color,#f2f5f8,#222530
color.semantic.field,color,#ffffff,#181b25
color.semantic.field-hover,color,#f5f7fa,#222530
color.semantic.field-focus,color,#ffffff,#181b25
color.semantic.field-placeholder,color,#616874,#8f96a1
color.semantic.field-foreground,color,#0e121b,#f5f7fa
color.semantic.accent,color,oklch(0.55 0.2295 265),oklch(0.71 0.198 265)
color.semantic.accent-hover,color,oklch(0.48 0.2115 265),oklch(0.815 0.1485 265)
color.semantic.accent-foreground,color,#ffffff,#0e121b
color.semantic.accent-soft,color,oklch(0.965 0.045 265),oklch(0.27 0.0945 265)
color.semantic.accent-soft-foreground,color,oklch(0.48 0.2115 265),oklch(0.85 0.1238 265)
color.primitive.accent.50,color,oklch(0.972 0.0293 265),oklch(0.972 0.0293 265)
color.primitive.accent.100,color,oklch(0.945 0.0563 265),oklch(0.945 0.0563 265)
color.primitive.accent.200,color,oklch(0.895 0.1013 265),oklch(0.895 0.1013 265)
color.primitive.accent.300,color,oklch(0.815 0.1485 265),oklch(0.815 0.1485 265)
color.primitive.accent.400,color,oklch(0.71 0.198 265),oklch(0.71 0.198 265)
color.primitive.accent.500,color,oklch(0.62 0.225 265),oklch(0.62 0.225 265)
color.primitive.accent.600,color,oklch(0.55 0.2295 265),oklch(0.55 0.2295 265)
color.primitive.accent.700,color,oklch(0.48 0.2115 265),oklch(0.48 0.2115 265)
color.primitive.accent.800,color,oklch(0.4 0.1755 265),oklch(0.4 0.1755 265)
color.primitive.accent.900,color,oklch(0.33 0.135 265),oklch(0.33 0.135 265)
color.primitive.accent.950,color,oklch(0.24 0.099 265),oklch(0.24 0.099 265)
radius.4,dimension,0.25rem,0.25rem
radius.6,dimension,0.375rem,0.375rem
radius.7,dimension,0.4375rem,0.4375rem
radius.8,dimension,0.5rem,0.5rem
radius.10,dimension,0.625rem,0.625rem
radius.12,dimension,0.75rem,0.75rem
radius.14,dimension,0.875rem,0.875rem
radius.16,dimension,1rem,1rem
radius.20,dimension,1.25rem,1.25rem
radius.24,dimension,1.5rem,1.5rem
radius.xs,dimension,0.125rem,0.125rem
radius.sm,dimension,0.25rem,0.25rem
radius.md,dimension,0.375rem,0.375rem
radius.lg,dimension,0.5rem,0.5rem
radius.xl,dimension,0.75rem,0.75rem
radius.2xl,dimension,1rem,1rem
radius.3xl,dimension,1.5rem,1.5rem
